InventoryId,Store,Brand,Description,Size,SalesQuantity,SalesDollars,SalesPrice,SalesDate,Volume,Classification,ExciseTax,VendorNo,VendorName
66_EANVERNESS_8097,66,8097,Patron Citronge Orange,375mL,1,14,14,1/17/2024,375,1,0,9165,ULTRA BEVERAGE COMPANY LLP 
73_DONCASTER_8085,73,8085,Wild Turkey,1.75L,1,36,36,8/27/2024,1750,1,2,11567,CAMPARI AMERICA            
36_LEWES_2585,36,2585,Jameson Irish Whiskey,750mL,12,276,23,7/13/2024,750,1,9,17035,PERNOD RICARD USA          
39_EASTHALLOW_6479,39,6479,Clos du Bois Chard,750mL,13,117,9,7/22/2024,750,2,1,1392,CONSTELLATION BRANDS INC   
72_HARDERSFIELD_1770,72,1770,Jack Daniels Tennessee Fire,1.75L,3,114,38,8/23/2024,1750,1,6,1128,BROWN-FORMAN CORP          
38_GOULCREST_4204,38,4204,Bacardi Coco Rum,750mL,1,12,12,2/28/2024,750,1,1,480,BACARDI USA INC            
6_GOULCREST_6995,6,6995,Carlo Rossi Spanada Sangria,1.5L,1,7,7,8/9/2024,1500,2,0,3252,E & J GALLO WINERY         
50_MOUNTMEND_21334,50,21334,Ilauri Prosecco Extra Dry,750mL,1,13,13,11/21/2024,750,2,0,7255,PSP WINES 
76_DONCASTER_23886,76,23886,Cycles Gladiator Chard,750mL,1,11,11,6/4/2024,750,2,0,10754,PERFECTA WINES             
21_BALERNO_36380,21,36380,Sebastiani Znfdl Sonoma Cnty,750mL,13,130,10,1/30/2024,750,2,1,4425,MARTIGNETTI COMPANIES
77_TAMWORTH_6115,77,6115,Midnight Moon Raspberry,750mL,1,20,20,3/13/2024,750,1,1,9165,ULTRA BEVERAGE COMPANY LLP 
76_DONCASTER_8448,76,8448,Cruzan Aged Dark Rum,750mL,3,30,10,8/4/2024,750,1,2,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_21329,1,21329,Masi Campofiorin,750mL,1,18,18,9/14/2024,750,2,0,9165,ULTRA BEVERAGE COMPANY LLP 
38_GOULCREST_24771,38,24771,Les Darons Lang J Carrel Rou,750mL,1,13,13,6/23/2024,750,2,0,10754,PERFECTA WINES             
68_SOLARIS_42413,68,42413,R M Woodbridge Rsl,1.5L,2,20,10,4/24/2024,1500,2,0,1392,CONSTELLATION BRANDS INC   
20_BREDWARDINE_29192,20,29192,Perrin Chtnf du Pape,750mL,4,148,37,2/14/2024,750,2,0,1587,VINEYARD BRANDS INC        
67_EANVERNESS_2619,67,2619,Glenmorangie Original 10 Yr,1.75L,1,65,65,9/30/2024,1750,1,2,8112,MOET HENNESSY USA INC      
1_HARDERSFIELD_3351,1,3351,Pinnacle Whipped Vodka,1.75L,4,68,17,9/16/2024,1750,1,7,12546,JIM BEAM BRANDS COMPANY    
66_EANVERNESS_16794,66,16794,Freakshow Cab Svgn,750mL,1,19,19,2/7/2024,750,2,0,4425,MARTIGNETTI COMPANIES
10_HORNSEY_7198,10,7198,New Amsterdam Pineapple Vdka,750mL,2,20,10,6/10/2024,750,1,2,3252,E & J GALLO WINERY         
13_TARMSWORTH_5399,13,5399,Goldschlager Cinnamon Schna,50mL,2,4,2,7/31/2024,50,1,0,3960,DIAGEO NORTH AMERICA INC   
60_IRRAGIN_16431,60,16431,HandCraft Artisan Coll Cab S,750mL,1,9,9,3/17/2024,750,2,0,2242,DELICATO VINEYARDS INC     
42_BLACK HOLLOW_41072,42,41072,Angeline Pnt Nr Rsv,750mL,1,14,14,2/5/2024,750,2,0,9552,M S WALKER INC             
73_DONCASTER_25578,73,25578,Parducci 13 True Grit Chard,750mL,11,143,13,11/5/2024,750,2,1,9552,M S WALKER INC             
18_FURNESS_40193,18,40193,Mark West Chard Sonoma Cnty,750mL,1,7,7,5/18/2024,750,2,0,1392,CONSTELLATION BRANDS INC   
52_GRAYCOTT_5445,52,5445,Jagermeister Liqueur,750mL,1,16,16,1/4/2024,750,1,1,3089,SIDNEY FRANK IMPORTING CO  
72_HARDERSFIELD_8819,72,8819,Leroux Blackberry Brandy,750mL,2,16,8,6/7/2024,750,1,2,12546,JIM BEAM BRANDS COMPANY    
41_LARNWICK_19260,41,19260,The Beach House Pinot Grigio,750mL,1,12,12,10/28/2024,750,2,0,653,STATE WINE & SPIRITS   
31_HORNSEY_5111,31,5111,Dr McGillicuddy's Mentholmnt,50mL,11,11,1,5/8/2024,50,1,1,8004,SAZERAC CO INC             
54_GUTHRAM_6319,54,6319,Santa Cristina Toscana,750mL,1,11,11,9/30/2024,750,2,0,8673,STE MICHELLE WINE ESTATES  
50_MOUNTMEND_12771,50,12771,Joel Gott Cab Svgn 815,750mL,3,39,13,10/26/2024,750,2,0,8892,TRINCHERO FAMILY ESTATES   
65_LUTON_39599,65,39599,R M Woodbridge Chard Cal,187mL 4 Pk,1,8,8,1/31/2024,187,2,0,1392,CONSTELLATION BRANDS INC   
12_LEESIDE_3485,12,3485,Luksusowa Potato Vodka,1.75L,3,60,20,6/17/2024,1750,1,6,4425,MARTIGNETTI COMPANIES
22_SHARNWICK_3310,22,3310,Pinnacle Vodka,375mL,2,12,6,12/3/2024,375,1,1,12546,JIM BEAM BRANDS COMPANY    
60_IRRAGIN_33960,60,33960,Allegrini Valpolicella Clsc,750mL,1,16,16,8/14/2024,750,2,0,3252,E & J GALLO WINERY         
68_SOLARIS_5233,68,5233,Cointreau Liqueur,375mL,2,42,21,3/5/2024,375,1,1,7239,REMY COINTREAU USA INC     
76_DONCASTER_1261,76,1261,Jim Beam Kentucky Fire,50mL,4,4,1,5/30/2024,50,1,0,12546,JIM BEAM BRANDS COMPANY    
11_CARDEND_12697,11,12697,Tapiz Malbec Mendoza,750mL,2,24,12,9/28/2024,750,2,0,653,STATE WINE & SPIRITS   
18_FURNESS_31186,18,31186,Almaden Merlot Cal B/B,5L,2,32,16,2/15/2024,5000,2,2,9815,WINE GROUP INC             
56_BEGGAR'S HOLE_8590,56,8590,Arrow Peppermint Schnapps,750mL,1,8,8,9/12/2024,750,1,1,8352,LUXCO INC                  
8_ALNERWICK_8451,8,8451,Cruzan Aged Dark Rum,1.75L,1,17,17,12/17/2024,1750,1,2,12546,JIM BEAM BRANDS COMPANY    
49_GARIGILL_1737,49,1737,Makers Mark,1.75L,1,53,53,3/8/2024,1750,1,2,12546,JIM BEAM BRANDS COMPANY    
66_EANVERNESS_36523,66,36523,Ch Macard Brdx Superieur,750mL,4,60,15,2/12/2024,750,2,0,4425,MARTIGNETTI COMPANIES
77_TAMWORTH_3161,77,3161,New Amsterdam Red Berry,750mL,1,11,11,7/10/2024,750,1,1,3252,E & J GALLO WINERY         
67_EANVERNESS_1956,67,1956,Balvenie 12 Yr Doublewood S,750mL,5,275,55,12/17/2024,750,1,4,3664,WILLIAM GRANT & SONS INC   
12_LEESIDE_3726,12,3726,Gilbeys Vodka Traveler,750mL,2,10,5,9/14/2024,750,1,2,12546,JIM BEAM BRANDS COMPANY    
8_ALNERWICK_6173,8,6173,Gallo Fairbanks Red Port,1.5L,2,16,8,5/31/2024,1500,2,0,3252,E & J GALLO WINERY         
78_EASTHAVEN_23739,78,23739,Liberty School Cab Svgn,750mL,1,14,14,3/8/2024,750,2,0,4425,MARTIGNETTI COMPANIES
10_HORNSEY_5033,10,5033,Fireball Cinnamon Whisky,Liter,1,18,18,10/31/2024,1000,1,1,8004,SAZERAC CO INC             
51_ABERDEEN_3476,51,3476,Reyka Vodka,750mL,1,20,20,11/26/2024,750,1,1,3664,WILLIAM GRANT & SONS INC   
74_PAENTMARWY_1238,74,1238,The Glenlivet 12 Yr Single,50mL,1,5,5,4/16/2024,50,1,0,17035,PERNOD RICARD USA          
2_ASHBORNE_3630,2,3630,Stolichnaya Razberi,1.75L,6,150,25,5/25/2024,1750,1,11,8664,"STOLI GROUP,(USA) LLC      "
39_EASTHALLOW_26352,39,26352,Armas de Guerra Rosado Mncia,750mL,1,14,14,7/24/2024,750,2,0,10754,PERFECTA WINES             
2_ASHBORNE_3979,2,3979,Vesica Potato Vodka,1.75L,1,17,17,8/12/2024,1750,1,2,60,ADAMBA IMPORTS INTL INC    
29_AYLESBURY_1416,29,1416,Old Grand Dad,1.75L,1,28,28,1/2/2024,1750,1,2,12546,JIM BEAM BRANDS COMPANY    
23_ARBINGTON_46582,23,46582,Grayson Cellars Pnt Nr Cntrl,750mL,1,13,13,6/16/2024,750,2,0,10754,PERFECTA WINES             
6_GOULCREST_8395,6,8395,Casamigos Anejo,750mL,1,62,62,11/11/2024,750,1,1,6213,MHW LTD                    
79_BALLYMENA_3128,79,3128,Ocean Organic Vodka,50mL,4,24,6,12/6/2024,50,1,0,9165,ULTRA BEVERAGE COMPANY LLP 
69_MOUNTMEND_8032,69,8032,Ballatore Gran Spumante,750mL,6,48,8,11/22/2024,750,2,1,3252,E & J GALLO WINERY         
73_DONCASTER_676,73,676,Pinnacle Whipped Vodka,750mL,1,11,11,2/14/2024,750,1,1,12546,JIM BEAM BRANDS COMPANY    
64_CESTERFIELD_8155,64,8155,Black Velvet Plastic,375mL,1,5,5,12/16/2024,375,1,0,1392,CONSTELLATION BRANDS INC   
67_EANVERNESS_3791,67,3791,Jose Cuervo Especial Silver,375mL,1,11,11,9/5/2024,375,1,0,7245,PROXIMO SPIRITS INC.       
34_PITMERDEN_903,34,903,Bombay Sapphire Gin,Liter,3,75,25,7/5/2024,1000,1,3,480,BACARDI USA INC            
59_CLAETHORPES_3802,59,3802,Three Olives Vodka,1.75L,6,114,19,12/10/2024,1750,1,11,7245,PROXIMO SPIRITS INC.       
76_DONCASTER_44912,76,44912,Broadbent Madeira Rainwater,750mL,1,17,17,8/27/2024,750,2,0,90024,VINILANDIA USA             
30_CULCHETH_3876,30,3876,Smirnoff 80 Proof,1.75L,2,40,20,5/14/2024,1750,1,4,3960,DIAGEO NORTH AMERICA INC   
15_WANBORNE_5103,15,5103,Fireball Cinnamon Whisky,1.75L,1,25,25,6/15/2024,1750,1,2,8004,SAZERAC CO INC             
1_HARDERSFIELD_3762,1,3762,Patron Silver Tequila,50mL,2,12,6,9/11/2024,50,1,0,9165,ULTRA BEVERAGE COMPANY LLP 
35_HALIVAARA_41252,35,41252,Beringer Classic Pnt Grigio,1.5L,1,8,8,12/11/2024,1500,2,0,9819,TREASURY WINE ESTATES      
7_STANMORE_8504,7,8504,R M Woodbridge Cab Svgn Cal,1.5L,6,60,10,6/2/2024,1500,2,1,1392,CONSTELLATION BRANDS INC   
12_LEESIDE_25588,12,25588,High Valley Znfdl,750mL,4,56,14,7/17/2024,750,2,0,2000,SOUTHERN WINE & SPIRITS NE 
69_MOUNTMEND_25575,69,25575,Louis Latour 14 St Veran Bla,750mL,12,192,16,12/10/2024,750,2,1,9552,M S WALKER INC             
23_ARBINGTON_5401,23,5401,Jagermeister Liqueur,200mL,3,15,5,11/23/2024,200,1,1,3089,SIDNEY FRANK IMPORTING CO  
7_STANMORE_37821,7,37821,Frescobaldi Sangiovese Remo,750mL,2,14,7,3/1/2024,750,2,0,9165,ULTRA BEVERAGE COMPANY LLP 
38_GOULCREST_4250,38,4250,Zaya Grand Reserva Rum,750mL,2,70,35,8/20/2024,750,1,2,9165,ULTRA BEVERAGE COMPANY LLP 
13_TARMSWORTH_3351,13,3351,Pinnacle Whipped Vodka,1.75L,3,51,17,9/27/2024,1750,1,6,12546,JIM BEAM BRANDS COMPANY    
14_BROMWICH_7198,14,7198,New Amsterdam Pineapple Vdka,750mL,1,11,11,2/26/2024,750,1,1,3252,E & J GALLO WINERY         
66_EANVERNESS_3444,66,3444,Hornitos Plata Tequila,1.75L,1,33,33,6/12/2024,1750,1,2,12546,JIM BEAM BRANDS COMPANY    
10_HORNSEY_46489,10,46489,Eppa Red Sangria Organic,750mL,1,13,13,7/13/2024,750,2,0,4425,MARTIGNETTI COMPANIES
7_STANMORE_5447,7,5447,Jagermeister Liqueur,375mL,3,30,10,10/14/2024,375,1,1,3089,SIDNEY FRANK IMPORTING CO  
76_DONCASTER_3583,76,3583,Smirnoff Orange Vodka,1.75L,1,19,19,11/28/2024,1750,1,2,3960,DIAGEO NORTH AMERICA INC   
34_PITMERDEN_15138,34,15138,Black Stallion Cab Svgn Napa,750mL,5,125,25,12/24/2024,750,2,1,2242,DELICATO VINEYARDS INC     
73_DONCASTER_63,73,63,Herradura Reposado Tequila,750mL,1,39,39,7/25/2024,750,1,1,1128,BROWN-FORMAN CORP          
74_PAENTMARWY_4945,74,4945,Jacquin Ginger Brandy,750mL,4,42,10,9/28/2024,750,1,3,4380,CHARLES JACQUIN ET CIE INC 
20_BREDWARDINE_1515,20,1515,Old Overholt,750mL,1,14,14,1/21/2024,750,1,1,12546,JIM BEAM BRANDS COMPANY    
23_ARBINGTON_40559,23,40559,McManis Cab Svgn Cal,750mL,1,11,11,1/26/2024,750,2,0,653,STATE WINE & SPIRITS   
43_WOLFORD_3980,43,3980,Hornitos Reposado Tequila,1.75L,2,80,40,4/7/2024,1750,1,4,12546,JIM BEAM BRANDS COMPANY    
76_DONCASTER_10420,76,10420,Barefoot Moscato Cal,750mL,9,45,5,12/11/2024,750,2,1,3252,E & J GALLO WINERY         
76_DONCASTER_2646,76,2646,Chivas Regal,1.75L,1,60,60,1/29/2024,1750,1,2,17035,PERNOD RICARD USA          
72_HARDERSFIELD_8961,72,8961,Jose Cuervo Especial,50mL,7,10,1,5/21/2024,50,1,0,7245,PROXIMO SPIRITS INC.       
66_EANVERNESS_16327,66,16327,Black Box Merlot,500mL,1,4,4,5/8/2024,500,2,0,1392,CONSTELLATION BRANDS INC   
50_MOUNTMEND_1174,50,1174,Rebel Yell,1.75L,1,20,20,7/8/2024,1750,1,2,8352,LUXCO INC                  
14_BROMWICH_4201,14,4201,Calico Jack Silver Rum,1.75L,1,13,13,9/8/2024,1750,1,2,12546,JIM BEAM BRANDS COMPANY    
57_LANTEGLOS_4932,57,4932,Arrow Ginger Brandy,750mL,1,8,8,12/13/2024,750,1,1,8352,LUXCO INC                  
61_AETHELNEY_2366,61,2366,Templeton Rye Whiskey,750mL,1,37,37,2/14/2024,750,1,1,9165,ULTRA BEVERAGE COMPANY LLP 
79_BALLYMENA_3606,79,3606,Smirnoff Raspberry Vodka,50mL,7,7,1,5/18/2024,50,1,0,3960,DIAGEO NORTH AMERICA INC   
48_NORFOLK_4227,48,4227,Bacardi Superior Rum Trav,1.75L,14,252,18,2/13/2024,1750,1,26,480,BACARDI USA INC            
23_ARBINGTON_23739,23,23739,Liberty School Cab Svgn,750mL,1,15,15,12/16/2024,750,2,0,4425,MARTIGNETTI COMPANIES
34_PITMERDEN_8424,34,8424,1800 Coconut Tequila,750mL,3,69,23,7/16/2024,750,1,2,7245,PROXIMO SPIRITS INC.       
68_SOLARIS_32907,68,32907,Sterling Vintners Cltn Chard,750mL,2,20,10,6/11/2024,750,2,0,1590,DIAGEO CHATEAU ESTATE WINES
67_EANVERNESS_8680,67,8680,Crown Royal,1.75L,1,40,40,5/5/2024,1750,1,2,3960,DIAGEO NORTH AMERICA INC   
38_GOULCREST_22087,38,22087,Juxtapoz Red North Cst,750mL,1,15,15,8/31/2024,750,2,0,2242,DELICATO VINEYARDS INC     
66_EANVERNESS_4662,66,4662,Capt Morgan White PET,1.75L,3,60,20,7/3/2024,1750,1,6,3960,DIAGEO NORTH AMERICA INC   
53_HILLFAR_24612,53,24612,Estancia Pnt Nr Monterey,750mL,2,19,9,8/19/2024,750,2,0,1392,CONSTELLATION BRANDS INC   
34_PITMERDEN_1892,34,1892,Yukon Jack,50mL,21,21,1,6/8/2024,50,1,1,3960,DIAGEO NORTH AMERICA INC   
24_PALPERROTH_37071,24,37071,Caymus Conundrum White,750mL,1,23,23,2/26/2024,750,2,0,4425,MARTIGNETTI COMPANIES
76_DONCASTER_3345,76,3345,Bombay Sapphire Gin,50mL,1,2,2,3/26/2024,50,1,0,480,BACARDI USA INC            
15_WANBORNE_8673,15,8673,Skinnygirl Margarita,750mL,1,10,10,7/24/2024,750,1,1,12546,JIM BEAM BRANDS COMPANY    
79_BALLYMENA_26463,79,26463,Ravenswood Vints Blend Znfdl,750mL,1,8,8,3/23/2024,750,2,0,1392,CONSTELLATION BRANDS INC   
9_BLACKPOOL_44719,9,44719,Cavit Prosecco Lunetta,750mL,8,72,9,4/1/2024,750,2,1,6785,PALM BAY INTERNATIONAL INC 
50_MOUNTMEND_19381,50,19381,O Wines Chard,750mL,1,10,10,1/24/2024,750,2,0,8673,STE MICHELLE WINE ESTATES  
76_DONCASTER_8000,76,8000,The Glenlivet 12 Yr Single,1.75L,4,276,69,5/14/2024,1750,1,7,17035,PERNOD RICARD USA          
66_EANVERNESS_32367,66,32367,Cavit Pinot Noir Delle Vene,750mL,1,7,7,1/17/2024,750,2,0,6785,PALM BAY INTERNATIONAL INC 
59_CLAETHORPES_8513,59,8513,Baileys Irish Cream Mini's 4,100mL 4 Pk,1,11,11,7/11/2024,100,1,0,3960,DIAGEO NORTH AMERICA INC   
33_HORNSEY_38549,33,38549,Stemmari Nero D'Avola,750mL,1,7,7,8/19/2024,750,2,0,9165,ULTRA BEVERAGE COMPANY LLP 
25_CAERSHIRE_8680,25,8680,Crown Royal,1.75L,1,39,39,3/29/2024,1750,1,2,3960,DIAGEO NORTH AMERICA INC   
15_WANBORNE_12666,15,12666,Carpineto Dogajolo Tuscan Wh,750mL,1,10,10,1/19/2024,750,2,0,9165,ULTRA BEVERAGE COMPANY LLP 
40_BULLMAR_4130,40,4130,Kraken Black Spiced Rum,375mL,1,12,12,12/29/2024,375,1,0,7245,PROXIMO SPIRITS INC.       
24_PALPERROTH_3837,24,3837,Skyy Vodka,50mL,2,2,1,6/11/2024,50,1,0,11567,CAMPARI AMERICA            
69_MOUNTMEND_8523,69,8523,Glen Ellen Chard RSV,750mL,1,5,5,5/31/2024,750,2,0,9815,WINE GROUP INC             
54_GUTHRAM_1232,54,1232,Jack Daniels No 7 Black,750mL,4,88,22,11/18/2024,750,1,3,1128,BROWN-FORMAN CORP          
41_LARNWICK_5872,41,5872,Godiva Chocolate Liqueur,50mL,3,9,3,10/5/2024,50,1,0,3960,DIAGEO NORTH AMERICA INC   
50_MOUNTMEND_19977,50,19977,Hideyoshi Namacho Honjozo Sa,300mL,1,11,11,11/15/2024,300,2,0,7153,PINE STATE TRADING CO      
67_EANVERNESS_2828,67,2828,Tom Cat Barrel Aged Gin,750mL,1,45,45,10/11/2024,750,1,1,1273,CALEDONIA SPIRITS INC      
79_BALLYMENA_41034,79,41034,Menage a Trois Red,750mL,3,30,10,2/18/2024,750,2,0,8892,TRINCHERO FAMILY ESTATES   
34_PITMERDEN_38441,34,38441,Toasted Head Cab Svgn,750mL,1,11,11,3/23/2024,750,2,0,1392,CONSTELLATION BRANDS INC   
69_MOUNTMEND_3372,69,3372,Smirnoff Sourced Pineapple,750mL,1,9,9,12/21/2024,750,1,1,3960,DIAGEO NORTH AMERICA INC   
61_AETHELNEY_31320,61,31320,La Vieille Ferme Rose Vntoux,750mL,1,9,9,6/16/2024,750,2,0,1587,VINEYARD BRANDS INC        
66_EANVERNESS_41222,66,41222,C Krug Svgn Bl Napa,750mL,2,34,17,11/1/2024,750,2,0,2000,SOUTHERN WINE & SPIRITS NE 
27_MOUNTMEND_39335,27,39335,Phillips Seven Deadly Znfdl,750mL,1,15,15,9/6/2024,750,2,0,4425,MARTIGNETTI COMPANIES
54_GUTHRAM_5628,54,5628,Baja Rosa Strawberry Liqueur,750mL,1,10,10,8/27/2024,750,1,1,8004,SAZERAC CO INC             
30_CULCHETH_3325,30,3325,Pinnacle Caramel Apple Vodka,750mL,2,22,11,10/14/2024,750,1,2,12546,JIM BEAM BRANDS COMPANY    
10_HORNSEY_8370,10,8370,Chi Chi's Margarita,1.75L,1,9,9,12/22/2024,1750,1,2,660,SAZERAC NORTH AMERICA INC. 
41_LARNWICK_8367,41,8367,Carlo Rossi Rhine Calif,4L,2,30,15,11/28/2024,4000,2,1,3252,E & J GALLO WINERY         
38_GOULCREST_29077,38,29077,Pine Ridge Chn Bl/Viognier,750mL,1,14,14,8/28/2024,750,2,0,4425,MARTIGNETTI COMPANIES
10_HORNSEY_1064,10,1064,Jack Daniels Honey + Glass,750mL,1,23,23,7/11/2024,750,1,1,1128,BROWN-FORMAN CORP          
77_TAMWORTH_18653,77,18653,Fuki Plum Wine,750mL,1,12,12,6/9/2024,750,2,0,7153,PINE STATE TRADING CO      
7_STANMORE_8171,7,8171,Leroux Blackberry Brandy,50mL,1,1,1,2/17/2024,50,1,0,12546,JIM BEAM BRANDS COMPANY    
9_BLACKPOOL_19357,9,19357,Kendall Jackson Vntnr Rsv Ch,375mL,1,6,6,12/22/2024,375,2,0,10000,MAJESTIC FINE WINES        
48_NORFOLK_2656,48,2656,Cutty Sark,1.75L,1,25,25,11/18/2024,1750,1,2,2561,EDRINGTON AMERICAS         
33_HORNSEY_34133,33,34133,Turning Leaf RSV Cab Svgn,1.5L,1,9,9,1/24/2024,1500,2,0,3252,E & J GALLO WINERY         
11_CARDEND_3209,11,3209,Hammer & Sickle Vodka,750mL,1,20,20,7/11/2024,750,1,1,4550,KLIN SPIRITS LLC           
66_EANVERNESS_4124,66,4124,Blue Chair Bay Banana Cream,50mL,12,12,1,12/3/2024,50,1,1,6213,MHW LTD                    
47_PELLA'S WISH_5396,47,5396,Tia Maria Coffee Liqueur,750mL,1,18,18,10/20/2024,750,1,1,4692,KOBRAND CORPORATION        
56_BEGGAR'S HOLE_3820,56,3820,Smirnoff Citrus Vodka,1.75L,1,20,20,5/31/2024,1750,1,2,3960,DIAGEO NORTH AMERICA INC   
50_MOUNTMEND_2880,50,2880,Bird Dog Chocolate Whiskey,750mL,2,32,16,4/16/2024,750,1,2,9625,WESTERN SPIRITS BEVERAGE CO
73_DONCASTER_14672,73,14672,Duckhorn Decoy Cab Svgn,750mL,33,559,17,11/19/2024,750,2,4,4425,MARTIGNETTI COMPANIES
76_DONCASTER_32065,76,32065,Rosemount Cab Svgn/Merlot,750mL,2,14,7,1/22/2024,750,2,0,4425,MARTIGNETTI COMPANIES
10_HORNSEY_27567,10,27567,Zenato Pinot Grigio Veneto,750mL,2,24,12,4/19/2024,750,2,0,2000,SOUTHERN WINE & SPIRITS NE 
23_ARBINGTON_3505,23,3505,Tito's Handmade Vodka,750mL,2,38,19,7/27/2024,750,1,2,4425,MARTIGNETTI COMPANIES
64_CESTERFIELD_28889,64,28889,Peter Vella Chard Cal B/B,5L,1,15,15,8/13/2024,5000,2,1,3252,E & J GALLO WINERY         
60_IRRAGIN_3161,60,3161,New Amsterdam Red Berry,750mL,1,10,10,6/6/2024,750,1,1,3252,E & J GALLO WINERY         
73_DONCASTER_5396,73,5396,Tia Maria Coffee Liqueur,750mL,1,17,17,1/8/2024,750,1,1,4692,KOBRAND CORPORATION        
21_BALERNO_4040,21,4040,Clement Select Barrel Rhum,750mL,1,29,29,4/11/2024,750,1,1,9165,ULTRA BEVERAGE COMPANY LLP 
39_EASTHALLOW_3344,39,3344,Bombay Sapphire Gin,750mL,2,40,20,7/6/2024,750,1,2,480,BACARDI USA INC            
76_DONCASTER_1158,76,1158,Old New England Choc Egg Nog,750mL,2,14,7,11/4/2024,750,1,2,9552,M S WALKER INC             
19_WINTERVALE_8838,19,8838,Ch Ste Michelle Cab Svgn Col,750mL,1,14,14,6/4/2024,750,2,0,8673,STE MICHELLE WINE ESTATES  
15_WANBORNE_6879,15,6879,Maurice's Mentholated Mint,50mL,2,2,1,2/19/2024,50,1,0,9552,M S WALKER INC             
43_WOLFORD_8451,43,8451,Cruzan Aged Dark Rum,1.75L,1,17,17,5/27/2024,1750,1,2,12546,JIM BEAM BRANDS COMPANY    
67_EANVERNESS_40053,67,40053,Campo Viejo Tempranillo,750mL,1,11,11,7/2/2024,750,2,0,17035,PERNOD RICARD USA          
71_CLARCTON_15252,71,15252,Bota Mini Chard,500mL,1,4,4,12/15/2024,500,2,0,2242,DELICATO VINEYARDS INC     
44_PORTHCRAWL_8828,44,8828,Lunazul Blanco Tequila,750mL,1,14,14,12/23/2024,750,1,1,3924,HEAVEN HILL DISTILLERIES   
38_GOULCREST_8190,38,8190,Gran Centenario Rosangel,750mL,1,16,16,9/22/2024,750,1,1,7245,PROXIMO SPIRITS INC.       
73_DONCASTER_2120,73,2120,Canadian Club,1.75L,28,448,16,8/12/2024,1750,1,51,12546,JIM BEAM BRANDS COMPANY    
33_HORNSEY_3837,33,3837,Skyy Vodka,50mL,27,27,1,10/31/2024,50,1,1,11567,CAMPARI AMERICA            
13_TARMSWORTH_12747,13,12747,Barefoot Cellars Pnt Nr,750mL,1,6,6,7/22/2024,750,2,0,3252,E & J GALLO WINERY         
79_BALLYMENA_8298,79,8298,Skinnygirl Grapefruit Marg,750mL,1,11,11,12/22/2024,750,1,1,12546,JIM BEAM BRANDS COMPANY    
12_LEESIDE_13430,12,13430,Agua de Piedra Malbec Selccn,750mL,1,11,11,9/23/2024,750,2,0,7153,PINE STATE TRADING CO      
17_OLDHAM_5891,17,5891,Ryans Irish Cream,1.75L,1,16,16,11/18/2024,1750,1,2,8004,SAZERAC CO INC             
