VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27,40,750,40380,1098336,38506,349562,1584665,4316,48347,486329,31,1,1
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,15,20,750,72952,1073853,73122,340626,1456175,57571,257032,382321,26,1,1
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13,19,1750,77066,1034996,74722,331727,1408628,137289,38995,373631,27,1,1
11567,CAMPARI AMERICA,3826,Skyy Vodka,16,20,1750,65382,1029113,64388,352822,1327401,118298,20965,298288,22,1,1
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34,53,750,29829,1014484,29498,132344,1533635,3314,48347,519150,34,1,2
17035,PERNOD RICARD USA,3423,Beefeater,21,27,1750,46163,980964,44762,367508,1177834,82244,123780,196871,17,1,1
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11,14,750,87954,976289,84289,257643,1174428,66361,50294,198139,17,1,1
17035,PERNOD RICARD USA,5734,Malibu Rum,16,22,1750,61639,975129,60102,315290,1293183,110429,123780,318054,25,1,1
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14,18,1750,68294,967726,75147,177579,1323224,138074,89286,355498,27,1,1
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,14,19,750,69299,953554,70603,331322,1355205,55585,144929,401651,30,1,1
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,16,23,750,52932,843207,53206,394501,1255189,41888,68602,411982,33,1,1
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,20,27,750,41048,839432,37615,396828,1034145,29616,123881,194713,19,1,1
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,17,24,1750,44198,757554,43533,364815,1093842,79985,50294,336288,31,1,1
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,54,68,1750,13759,742436,13210,453044,910689,24275,123780,168253,18,1,1
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,18,23,750,41893,736898,41506,361150,967006,32678,257032,230108,24,1,1
17035,PERNOD RICARD USA,5365,Kahlua,15,19,750,48583,720972,48615,323297,932816,38273,123780,211844,23,1,1
3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,14,20,1750,50962,710920,64266,298051,1210481,118078,257032,499561,41,1,2
1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,14,18,1750,48481,692309,47805,271014,875308,87833,79529,182999,21,1,1
8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,10,13,1750,71899,691668,70351,232303,914148,129253,50294,222480,24,1,1
1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,9,13,1750,73227,689066,72043,229797,948839,132365,79529,259773,27,1,1
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,8,13,750,80030,675453,78392,199092,1095045,8800,144929,419592,38,1,2
9552,M S WALKER INC,3893,Zhenka 80 Proof,8,10,1750,81447,645875,81723,171059,816413,150150,55552,170538,21,1,1
1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,20,30,1000,32554,645871,32064,253235,937915,33667,68602,292044,31,1,1
3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,13,17,1750,47654,642376,47446,273169,902490,87174,257032,260114,29,1,1
660,SAZERAC NORTH AMERICA INC.,2127,Canadian Ltd,7,10,1750,86887,624718,86195,183133,899111,158367,17932,274393,31,1,1
1392,CONSTELLATION BRANDS INC,6682,R M Woodbridge Chard Cal,6,9,1500,101547,612328,101339,161300,1016329,22776,79529,404000,40,1,2
3960,DIAGEO NORTH AMERICA INC,3798,Ciroc Apple Vodka,20,29,750,30830,611359,29647,157602,748068,23348,257032,136709,18,1,1
3960,DIAGEO NORTH AMERICA INC,4262,Capt Morgan Spiced Rum,11,14,750,54552,610437,55710,241541,862423,43862,257032,251986,29,1,1
1128,BROWN-FORMAN CORP,2015,Jack Daniels Tennessee Honey,18,23,750,33715,610242,32969,303753,771010,25960,68602,160769,21,1,1
12546,JIM BEAM BRANDS COMPANY,1737,Makers Mark,34,52,1750,17537,601519,16089,432235,823521,29565,123881,222002,27,1,1
4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,7,10,750,91140,600613,90267,124834,890334,10139,144929,289722,33,1,1
6785,PALM BAY INTERNATIONAL INC,6937,Cavit Pinot Grigio,7,10,1500,88752,599076,87974,164272,945345,19771,13605,346269,37,1,2
8112,MOET HENNESSY USA INC,4689,Hennessy Privilege VSOP,33,46,750,17838,594541,18005,177136,858572,14179,48347,264031,31,1,1
4425,MARTIGNETTI COMPANIES,3040,Tito's Handmade Vodka,17,24,1000,35922,594150,34901,253126,842327,36646,144929,248177,29,1,1
17035,PERNOD RICARD USA,3625,Absolut 80 Proof,13,17,750,45969,578750,44406,270297,785297,34961,123780,206547,26,1,1
8112,MOET HENNESSY USA INC,7865,Moet & Chandon Imperial,24,35,750,24088,577389,23290,249582,834892,2607,48347,257503,31,1,1
12546,JIM BEAM BRANDS COMPANY,1346,Knob Creek Bourbon,23,30,750,25540,575927,22144,350155,684456,17438,123881,108529,16,1,1
7239,REMY COINTREAU USA INC,5242,Cointreau Liqueur,22,30,750,25361,559210,24770,351898,763368,19505,16979,204158,27,1,1
7239,REMY COINTREAU USA INC,4722,Remy Martin VSOP Cognac,28,35,750,19910,552901,18637,204515,665393,14678,16979,112492,17,1,1
4425,MARTIGNETTI COMPANIES,6967,Santa Margherita Pnt Grigio,12,20,750,46257,549996,46511,185951,923055,5216,144929,373060,40,1,2
8664,"STOLI GROUP,(USA) LLC",3630,Stolichnaya Razberi,20,25,1750,27479,544909,27622,298570,700961,50752,18544,156052,22,1,1
1128,BROWN-FORMAN CORP,2760,Jack Daniels Tennessee Honey,28,39,1750,19219,538516,18250,345701,701172,33536,68602,162655,23,1,1
3960,DIAGEO NORTH AMERICA INC,8178,Bulleit Bourbon,19,26,750,28421,526073,27204,301944,724380,21422,257032,198307,27,1,1
3089,SIDNEY FRANK IMPORTING CO,5445,Jagermeister Liqueur,12,16,750,44330,521321,41133,253884,661673,32383,8550,140352,21,1,1
3252,E & J GALLO WINERY,14006,Apothic Winemakers Red Blend,5,10,750,94779,515598,91600,143900,812899,10283,61967,297302,37,1,2
3664,WILLIAM GRANT & SONS INC,3238,Hendrick's Gin,23,30,750,22352,510296,20847,294115,632475,16417,30234,122178,19,1,1
12546,JIM BEAM BRANDS COMPANY,3980,Hornitos Reposado Tequila,32,40,1750,15805,505602,15381,323366,565522,28265,123881,59920,11,1,1
7245,PROXIMO SPIRITS INC.,3776,Jose Cuervo Especial Silver,19,26,1750,26795,497315,25596,295187,684036,47031,38995,186721,27,1,1
3960,DIAGEO NORTH AMERICA INC,3746,Gordons Vodka 80 Proof,9,13,1750,58309,496793,57845,188937,724361,106279,257032,227568,31,1,1
17035,PERNOD RICARD USA,3728,Absolut Citron,19,25,1750,25959,491404,26222,288436,658690,48180,123780,167286,25,1,1
3924,HEAVEN HILL DISTILLERIES,3243,Burnetts Vodka,8,10,1750,57575,475570,57067,182200,648535,104848,14070,172966,27,1,1
3089,SIDNEY FRANK IMPORTING CO,5440,Jagermeister Liqueur,26,35,1750,18298,474284,18082,318572,621256,33227,8550,146972,24,1,1
480,BACARDI USA INC,4245,Bacardi Superior Rum,8,12,750,58816,466411,58320,167951,643475,45919,89286,177064,28,1,1
9165,ULTRA BEVERAGE COMPANY LLP,36378,MezzaCorona Pnt Grigio,7,10,1500,68084,465014,67195,155747,695816,15097,68055,230803,33,1,1
3664,WILLIAM GRANT & SONS INC,4198,Sailor Jerry Spiced Navy Rum,18,25,1750,25998,455225,23008,288224,575755,42276,30234,120530,21,1,1
10000,MAJESTIC FINE WINES,24325,La Crema Chard Sonoma Cst,11,16,750,41274,449061,39387,155091,658288,4416,17588,209227,32,1,1
17035,PERNOD RICARD USA,5735,Malibu Rum,9,12,750,48121,447044,46557,181685,598769,36657,123780,151725,25,1,1
8112,MOET HENNESSY USA INC,5342,Grand Marnier,20,29,750,22234,441345,22623,335051,687310,17815,48347,245965,36,1,2
2555,DISARONNO INTERNATIONAL LLC,5311,Amaretto DiSaronno,24,32,1750,18409,436293,18376,306348,667168,33768,5861,230875,35,1,2
1392,CONSTELLATION BRANDS INC,19748,Clos du Bois Chard,9,14,1500,47153,433808,46069,166739,701956,10347,79529,268148,38,1,2
8112,MOET HENNESSY USA INC,3668,Belvedere Polish Vodka,34,43,1750,12713,433768,12218,282791,536415,22453,48347,102647,19,1,1
2561,EDRINGTON AMERICAS,2520,The Macallan 12 Yr Old,42,63,750,10227,431682,9713,344177,572040,7652,9655,140358,25,1,1
3960,DIAGEO NORTH AMERICA INC,8202,Sambuca Romana,13,18,750,32375,431559,31816,219854,606782,25053,257032,175223,29,1,1
3960,DIAGEO NORTH AMERICA INC,3276,Gordons London Dry,10,15,1750,44631,429350,44434,185732,643754,81641,257032,214403,33,1,1
3960,DIAGEO NORTH AMERICA INC,497,Capt Morgan Spiced Rum,15,20,1000,29200,429240,29238,145247,584468,30700,257032,155228,27,1,1
3960,DIAGEO NORTH AMERICA INC,1883,Seagrams 7 Crown,13,18,1750,32253,426707,32430,227106,583416,59585,257032,156709,27,1,1
3960,DIAGEO NORTH AMERICA INC,2767,Johnnie Walker Blue Label,140,190,750,2963,413931,2761,399868,548648,2177,257032,134717,25,1,1
17035,PERNOD RICARD USA,482,Absolut 80 Proof,14,22,1000,28888,412521,27866,198436,599601,29259,123780,187081,31,1,1
3960,DIAGEO NORTH AMERICA INC,8778,Bulleit Bourbon,37,50,1750,10966,408922,10796,304107,525233,19841,257032,116311,22,1,1
1128,BROWN-FORMAN CORP,1220,Woodford Reserve Bourbon,22,30,750,18645,408139,18408,293510,589482,14496,68602,181343,31,1,1
3960,DIAGEO NORTH AMERICA INC,2418,Crown Royal Regal Apple,17,23,750,24558,405944,24284,263621,570271,19123,257032,164327,29,1,1
1392,CONSTELLATION BRANDS INC,8504,R M Woodbridge Cab Svgn Cal,6,9,1500,69263,404496,68667,148661,686725,15427,79529,282229,41,1,2
660,SAZERAC NORTH AMERICA INC.,3684,Fleischmanns Royal Vodka,8,10,1750,52351,402056,51954,156288,527561,95453,17932,125505,24,1,1
3252,E & J GALLO WINERY,14622,La Marca Prosecco,9,13,750,46387,401711,45608,124562,558345,5115,61967,156633,28,1,1
8004,SAZERAC CO INC,3246,Bentley's Vodka,7,9,1750,59841,401533,59245,136913,520764,108850,50294,119230,23,1,1
17035,PERNOD RICARD USA,8339,The Glenlivet 12 Yr Single,30,43,750,13250,400283,12463,335249,544906,9819,123780,144624,27,1,1
2555,DISARONNO INTERNATIONAL LLC,5312,Amaretto DiSaronno,15,22,750,27186,399634,26178,228706,571763,20615,5861,172129,30,1,1
3960,DIAGEO NORTH AMERICA INC,1869,Oban 14-Yr Single Malt,40,55,750,9892,397065,9219,302801,549292,7263,257032,152227,28,1,1
8112,MOET HENNESSY USA INC,8622,Dom Perignon,87,146,750,4544,395737,4127,312139,589318,459,48347,193581,33,1,1
3960,DIAGEO NORTH AMERICA INC,1868,Lagavulin Single Malt 16-Yr,50,67,750,7821,388078,7644,334192,550741,6023,257032,162663,30,1,1
480,BACARDI USA INC,508,Bacardi Superior Rum,10,13,1000,38957,380610,38335,123061,522309,40252,89286,141699,27,1,1
3924,HEAVEN HILL DISTILLERIES,1180,Evan Williams Black Label B,13,17,1750,29070,379945,28291,233335,543425,51982,14070,163480,30,1,1
8112,MOET HENNESSY USA INC,4673,Hennessy VS Cognac,47,70,1750,8132,379439,8118,225143,549272,14917,48347,169833,31,1,1
1128,BROWN-FORMAN CORP,2143,Canadian Mist,10,13,1750,37653,379166,37763,180374,518089,69383,68602,138924,27,1,1
4425,MARTIGNETTI COMPANIES,11214,Caymus Cab Svgn Napa Vly,50,75,750,7505,377727,7612,222174,534971,849,144929,157244,29,1,1
17035,PERNOD RICARD USA,2646,Chivas Regal,43,59,1750,8702,376797,8233,267132,462120,15131,123780,85323,18,1,1
7245,PROXIMO SPIRITS INC.,8691,Jose Cuervo Especial,12,15,750,31495,374791,31383,216863,494108,24710,38995,119318,24,1,1
3960,DIAGEO NORTH AMERICA INC,4330,Capt Morgan Spiced Rum 100,21,26,1750,17755,369126,17633,267976,482986,32402,257032,113859,24,1,1
1485,CASTLE BRANDS CORP.,4225,Goslings Black Seal Bermuda,18,25,1750,20089,369035,20179,230329,522535,37081,8498,153500,29,1,1
1392,CONSTELLATION BRANDS INC,6479,Clos du Bois Chard,6,9,750,61869,368121,61253,110538,567452,6872,79529,199332,35,1,2
4425,MARTIGNETTI COMPANIES,3485,Luksusowa Potato Vodka,15,20,1750,24202,363756,23843,237851,485689,43810,144929,121933,25,1,1
17035,PERNOD RICARD USA,800,Jameson Irish Whiskey,24,32,1000,15142,363711,14506,124940,468588,15231,123780,104877,22,1,1
12546,JIM BEAM BRANDS COMPANY,1345,Basil Hayden Bourbon,28,38,750,12761,363050,12902,272052,494733,10163,123881,131683,27,1,1
3664,WILLIAM GRANT & SONS INC,1956,Balvenie 12 Yr Doublewood S,40,54,750,9013,360430,7922,290628,456462,6241,30234,96032,21,1,1
17035,PERNOD RICARD USA,2932,Jameson Black Barrel,25,32,750,14642,360340,13785,262340,444452,10859,123780,84113,19,1,1
12546,JIM BEAM BRANDS COMPANY,5391,Kamora Coffee,12,16,1750,29914,359566,29911,219622,491569,54956,123881,132003,27,1,1
3960,DIAGEO NORTH AMERICA INC,1384,Bulleit 95 Rye,19,26,750,18900,357777,17620,239843,470255,13877,257032,112478,24,1,1
1392,CONSTELLATION BRANDS INC,38546,Mark West Pnt Nr Sonoma,5,10,750,70531,356887,70188,133091,675520,7876,79529,318633,47,1,2
12546,JIM BEAM BRANDS COMPANY,3982,Hornitos Reposado Tequila,14,20,750,24801,356638,22099,226693,469603,17403,123881,112965,24,1,1
3252,E & J GALLO WINERY,3180,New Amsterdam Vodka,11,17,1750,32413,354598,33938,232223,581785,62356,61967,227186,39,1,2
1128,BROWN-FORMAN CORP,1789,Jack Daniels Tennesse Fire,17,23,750,20590,353324,20025,237928,469723,15770,68602,116398,25,1,1
1485,CASTLE BRANDS CORP.,1269,Jeffersons Bourbon,19,26,750,18458,352732,16976,227256,447608,13371,8498,94876,21,1,1
3960,DIAGEO NORTH AMERICA INC,3456,Tanqueray Sterling Vodka,13,19,1750,26543,352226,25684,171496,483047,47194,257032,130822,27,1,1
4425,MARTIGNETTI COMPANIES,23143,Bogle Chard,5,7,750,74342,345690,72139,101452,591670,8099,144929,245979,42,1,2
1128,BROWN-FORMAN CORP,1231,Jack Daniels No 7 Black,9,13,375,36450,345546,35733,192455,435378,14044,68602,89832,21,1,1
480,BACARDI USA INC,3344,Bombay Sapphire Gin,14,20,750,23798,344833,24620,236206,516762,19388,89286,171929,33,1,1
8004,SAZERAC CO INC,5191,Fireball Cinnamon Whiskey,8,10,375,43352,343781,43057,167542,430139,16929,50294,86358,20,1,1
3960,DIAGEO NORTH AMERICA INC,3878,Smirnoff 80 Proof,8,11,750,43015,342399,43690,175166,499703,34398,257032,157304,31,1,1
3960,DIAGEO NORTH AMERICA INC,3352,Ciroc Coconut Vodka,19,25,750,18095,340005,18976,91917,474449,14946,257032,134444,28,1,1
12546,JIM BEAM BRANDS COMPANY,3253,Gilbeys London Dry,9,12,1750,37423,339801,37497,154890,463220,68895,123881,123419,27,1,1
3664,WILLIAM GRANT & SONS INC,1921,Glenfiddich Special Rsv 12,53,68,1750,6436,339242,5463,230498,379168,10041,30234,39927,11,1,1
3960,DIAGEO NORTH AMERICA INC,4264,Capt Morgan Spiced Rum Trav,12,17,750,29352,338429,28860,211608,447487,22722,257032,109059,24,1,1
3960,DIAGEO NORTH AMERICA INC,2752,Johnnie Walker Black Label,26,39,750,12778,336189,13083,271656,490792,10306,257032,154603,32,1,1
12546,JIM BEAM BRANDS COMPANY,3997,Hornitos Plata Tequila,14,20,750,23835,334882,23007,233741,474638,18117,123881,139756,29,1,1
3664,WILLIAM GRANT & SONS INC,3234,Hendrick's Gin,46,63,1750,7290,334757,7465,294818,467921,13720,30234,133165,28,1,1
8004,SAZERAC CO INC,1767,Buffalo Trace Bourbon,19,25,750,17274,334597,16336,203881,412469,12866,50294,77871,19,1,1
3664,WILLIAM GRANT & SONS INC,5337,Drambuie,21,28,750,16167,333040,14262,219275,394423,11234,30234,61383,16,1,1
7239,REMY COINTREAU USA INC,4437,Mount Gay Eclipse,23,31,1750,14171,332735,13562,235529,461672,24923,16979,128937,28,1,1
1392,CONSTELLATION BRANDS INC,11213,Meiomi Pnt Nr,13,20,750,26190,331565,25652,150295,503067,2872,79529,171502,34,1,2
8004,SAZERAC CO INC,5299,Southern Comfort,15,22,1750,21713,331340,19895,130310,412339,36554,50294,80999,20,1,1
7239,REMY COINTREAU USA INC,782,Remy Martin 1738 Accord Ryl,35,55,750,9415,330937,9148,151789,444073,7204,16979,113135,25,1,1
3960,DIAGEO NORTH AMERICA INC,2889,Buchanans Deluxe 12Yr Scotch,23,32,750,14260,328978,13468,78541,432258,10606,257032,103280,24,1,1
3960,DIAGEO NORTH AMERICA INC,3549,Ketel One Vodka,18,27,750,18322,326498,16532,212091,407031,13020,257032,80533,20,1,1
17035,PERNOD RICARD USA,857,Kahlua,16,22,1000,20165,326068,19674,199801,462932,20658,123780,136864,30,1,1
3960,DIAGEO NORTH AMERICA INC,8506,Myers Original Dark Rum,21,30,1750,15187,325306,14633,198941,449037,26890,257032,123731,28,1,1
4425,MARTIGNETTI COMPANIES,14672,Duckhorn Decoy Cab Svgn,12,22,750,27814,322921,27729,143396,508257,3105,144929,185336,36,1,2
4425,MARTIGNETTI COMPANIES,6579,J Lohr Riverstone Chard,6,9,750,54960,318768,56157,121728,605967,6302,144929,287199,47,1,2
3252,E & J GALLO WINERY,2164,New Amsterdam Gin,12,17,1750,26071,316502,24495,208641,431674,45008,61967,115172,27,1,1
2000,SOUTHERN WINE & SPIRITS NE,27854,F Coppola Black Label Claret,10,15,750,30869,314864,30768,129556,443192,3446,19017,128328,29,1,1
8112,MOET HENNESSY USA INC,3682,Belvedere Vodka,17,23,750,18848,314008,17869,199630,413944,14073,48347,99937,24,1,1
9552,M S WALKER INC,7878,Allens Coffee Brandy,10,16,1750,31200,311688,31160,117339,471064,57256,55552,159376,34,1,2
2561,EDRINGTON AMERICAS,1634,The Famous Grouse,21,30,1750,15031,311593,14614,224519,444950,26854,9655,133357,30,1,1
12546,JIM BEAM BRANDS COMPANY,3444,Hornitos Plata Tequila,29,40,1750,10636,309827,10362,242130,375689,19043,123881,65863,18,1,1
17035,PERNOD RICARD USA,2426,The Glenlivet 15Yr FrenchOak,42,52,750,7445,309638,7445,252068,413476,5867,123780,103838,25,1,1
1392,CONSTELLATION BRANDS INC,32915,Kim Crawford Svgn Bl Marlbro,10,15,750,30842,308112,30869,126472,472099,3459,79529,163988,35,1,2
4425,MARTIGNETTI COMPANIES,35412,Yellow Tail Chard Ausl,6,10,1500,51294,306225,50797,117790,491916,11409,144929,185691,38,1,2
3960,DIAGEO NORTH AMERICA INC,3840,Smirnoff Raspberry Vodka,14,23,1750,21076,303284,21167,224450,438524,38894,257032,135241,31,1,1
9552,M S WALKER INC,3769,Jenkins Vodka,7,9,1750,42549,298694,42105,134716,394134,77358,55552,95440,24,1,1
8673,STE MICHELLE WINE ESTATES,8815,Ch Ste Michelle Chard Colmbi,6,9,750,48853,296538,48587,97687,431702,5450,15920,135165,31,1,1
3960,DIAGEO NORTH AMERICA INC,3879,Smirnoff 80 Proof Traveler,8,13,750,37344,295391,36604,187268,427610,28815,257032,132219,31,1,1
12546,JIM BEAM BRANDS COMPANY,1375,Jim Beam,12,14,750,25183,289605,26121,203013,402621,20570,123881,113017,28,1,1
8892,TRINCHERO FAMILY ESTATES,41034,Menage a Trois Red,5,9,750,54738,287922,54744,132594,509372,6135,11596,221451,43,1,2
1128,BROWN-FORMAN CORP,1545,Gentleman Jack,19,30,750,14785,287125,14501,253425,423809,11423,68602,136684,32,1,1
480,BACARDI USA INC,2665,Dewars White Label,15,20,750,18574,285668,19088,215263,400461,15034,89286,114793,29,1,1
1128,BROWN-FORMAN CORP,1770,Jack Daniels Tennessee Fire,26,39,1750,10746,283909,10128,233847,389507,18613,68602,105597,27,1,1
4425,MARTIGNETTI COMPANIES,6595,Bogle Merlot,4,7,750,63188,283082,62368,109538,502198,6997,144929,219116,44,1,2
1392,CONSTELLATION BRANDS INC,35472,R M Woodbridge Pnt Grigio,6,9,1500,47207,277577,46764,127217,469543,10501,79529,191966,41,1,2
8004,SAZERAC CO INC,5105,Dr McGillicuddy's Mentholmnt,15,26,1750,18007,266684,17355,199774,390990,31891,50294,124307,32,1,1
8004,SAZERAC CO INC,5153,Fireball Cinn Whisky Trav,10,16,750,25499,266210,25465,176398,381031,20052,50294,114822,30,1,1
3960,DIAGEO NORTH AMERICA INC,4368,Capt Morgan Private Stock,24,33,1750,11035,263847,11114,234037,379653,20426,257032,115806,31,1,1
3960,DIAGEO NORTH AMERICA INC,3488,Tanqueray,16,24,750,16740,261479,16745,216983,387589,13188,257032,126110,33,1,1
3960,DIAGEO NORTH AMERICA INC,8111,Smirnoff 80 Proof,1,1,50,337660,259998,334939,21425,331590,17579,257032,71591,22,1,1
6213,MHW LTD,5921,RumChata Liqueur,15,22,750,17419,257975,17317,188151,363395,13638,9622,105419,29,1,1
1392,CONSTELLATION BRANDS INC,40096,Black Box Cab Svgn,11,17,3000,24452,257235,24253,199193,443383,10914,79529,186148,42,1,2
17035,PERNOD RICARD USA,2756,Jameson Caskmates,23,30,750,11220,256826,10632,194947,316024,8377,123780,59198,19,1,1
9165,ULTRA BEVERAGE COMPANY LLP,15094,Butter Chard,9,15,750,28274,256728,25366,107099,368419,2840,68055,111691,30,1,1
8112,MOET HENNESSY USA INC,8612,Grand Marnier,46,68,1750,5583,255646,5516,244096,351317,10139,48347,95671,27,1,1
9815,WINE GROUP INC,6349,Glen Ellen Chard RSV,5,7,1500,55151,255349,54842,101103,383346,12318,27100,127996,33,1,2
12546,JIM BEAM BRANDS COMPANY,3351,Pinnacle Whipped Vodka,13,17,1750,19227,255142,18722,174230,314370,34402,123881,59227,19,1,1
3664,WILLIAM GRANT & SONS INC,8021,Glenfiddich Special Rsv 12,31,40,750,8081,254471,6976,207327,305773,5498,30234,51303,17,1,1
9165,ULTRA BEVERAGE COMPANY LLP,3788,Patron Silver Tequila,20,28,375,12664,253153,12119,198766,332235,4757,68055,79081,24,1,1
11567,CAMPARI AMERICA,8107,Wild Turkey 101,27,37,1750,9472,252997,9109,210311,323429,16743,20965,70432,22,1,1
8112,MOET HENNESSY USA INC,2692,Glenmorangie 10 Yr Scotch,26,42,750,9588,252260,9337,208416,334080,7357,48347,81819,24,1,1
1128,BROWN-FORMAN CORP,1237,Jack Daniels Single Barrel,34,45,750,7418,250951,6658,179486,303998,5247,68602,53047,17,1,1
480,BACARDI USA INC,3851,Grey Goose Vodka,12,16,375,20841,250509,20370,131327,303207,8003,89286,52698,17,1,1
3664,WILLIAM GRANT & SONS INC,8480,Clan MacGregor,11,15,1750,22379,250421,21500,131701,329242,39505,30234,78821,24,1,1
